code,name,market,sector,theme
6728,アルバック,Prime,電気機器,半導体関連
6730,アクセル,Standard,電気機器,半導体関連
6731,ピクセラ,Standard,電気機器,半導体関連
6736,サン電子,Standard,電気機器,半導体関連
6737,ＥＩＺＯ,Prime,電気機器,半導体関連
6740,ジャパンディスプレイ,Prime,電気機器,半導体関連
6741,日本信号,Prime,電気機器,半導体関連
6742,京三製作所,Prime,電気機器,半導体関連
6743,大同信号,Standard,電気機器,半導体関連
6744,能美防災,Prime,電気機器,半導体関連
6745,ホーチキ,Prime,電気機器,半導体関連
6748,星和電機,Standard,電気機器,半導体関連
6750,エレコム,Prime,電気機器,半導体関連
6752,パナソニック　ホールディングス,Prime,電気機器,半導体関連
6753,シャープ,Prime,電気機器,半導体関連
6754,アンリツ,Prime,電気機器,半導体関連
6757,ＯＳＧコーポレーション,Standard,電気機器,半導体関連
6758,ソニーグループ,Prime,電気機器,半導体関連
6762,ＴＤＫ,Prime,電気機器,半導体関連
6763,帝国通信工業,Prime,電気機器,半導体関連
6768,タムラ製作所,Prime,電気機器,半導体関連
6769,ザインエレクトロニクス,Standard,電気機器,半導体関連
6770,アルプスアルパイン,Prime,電気機器,半導体関連
6771,池上通信機,Standard,電気機器,半導体関連
6772,東京コスモス電機,Standard,電気機器,半導体関連
6775,ＴＢグループ,Standard,電気機器,半導体関連
6776,天昇電気工業,Standard,化学,半導体関連
6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,Standard,電気機器,半導体関連
6778,アルチザネットワークス,Standard,電気機器,半導体関連
6779,日本電波工業,Prime,電気機器,半導体関連
6785,鈴木,Prime,電気機器,半導体関連
6786,ＲＶＨ,Standard,サービス業,サービス
6787,メイコー,Prime,電気機器,半導体関連
6788,日本トリム,Prime,電気機器,半導体関連
6794,フォスター電機,Prime,電気機器,半導体関連
6797,名古屋電機工業,Standard,電気機器,半導体関連
6798,ＳＭＫ,Prime,電気機器,半導体関連
6800,ヨコオ,Prime,電気機器,半導体関連
6803,ティアック,Standard,電気機器,半導体関連
6804,ホシデン,Prime,電気機器,半導体関連
6806,ヒロセ電機,Prime,電気機器,半導体関連
6807,日本航空電子工業,Prime,電気機器,半導体関連
6809,ＴＯＡ,Prime,電気機器,半導体関連
6810,マクセル,Prime,電気機器,半導体関連
6814,古野電気,Prime,電気機器,半導体関連
6817,スミダコーポレーション,Prime,電気機器,半導体関連
6819,伊豆シャボテンリゾート,Standard,サービス業,サービス
6820,アイコム,Prime,電気機器,半導体関連
6822,大井電気,Standard,電気機器,半導体関連
6823,リオン,Prime,電気機器,半導体関連
6824,新コスモス電機,Standard,電気機器,半導体関連
6832,アオイ電子,Standard,電気機器,半導体関連
6834,精工技研,Standard,電気機器,半導体関連
6835,アライドテレシスホールディングス,Standard,電気機器,半導体関連
6836,ぷらっとホーム,Standard,電気機器,半導体関連
6837,京写,Standard,電気機器,半導体関連
6838,多摩川ホールディングス,Standard,電気機器,半導体関連
6840,ＡＫＩＢＡホールディングス,Standard,電気機器,半導体関連
6841,横河電機,Prime,電気機器,半導体関連
6844,新電元工業,Prime,電気機器,半導体関連
6845,アズビル,Prime,電気機器,半導体関連
6848,東亜ディーケーケー,Standard,電気機器,半導体関連
6849,日本光電工業,Prime,電気機器,半導体関連
6850,チノー,Prime,電気機器,半導体関連
6853,共和電業,Standard,電気機器,半導体関連
6855,日本電子材料,Standard,電気機器,半導体関連
6856,堀場製作所,Prime,電気機器,半導体関連
6857,アドバンテスト,Prime,電気機器,半導体関連
6858,小野測器,Standard,電気機器,半導体関連
6859,エスペック,Prime,電気機器,半導体関連
6861,キーエンス,Prime,電気機器,半導体関連
6862,ミナトホールディングス,Standard,電気機器,半導体関連
6863,ニレコ,Standard,電気機器,半導体関連
6864,エヌエフホールディングス,Standard,電気機器,半導体関連
6866,日置電機,Prime,電気機器,半導体関連
6867,リーダー電子,Standard,電気機器,半導体関連
6869,シスメックス,Prime,電気機器,半導体関連
6870,日本フェンオール,Standard,電気機器,半導体関連
6871,日本マイクロニクス,Prime,電気機器,半導体関連
6874,協立電機,Standard,電気機器,半導体関連
6875,メガチップス,Prime,電気機器,半導体関連
6877,ＯＢＡＲＡ　ＧＲＯＵＰ,Standard,電気機器,半導体関連
6882,三社電機製作所,Standard,電気機器,半導体関連
6888,アクモス,Standard,情報・通信業,DX・SaaS
6890,フェローテック,Standard,電気機器,半導体関連
6894,パルステック工業,Standard,電気機器,半導体関連
6897,ツインバード,Standard,電気機器,半導体関連
6898,トミタ電機,Standard,電気機器,半導体関連
6899,ＡＳＴＩ,Standard,電気機器,半導体関連
6901,澤藤電機,Standard,電気機器,半導体関連
6902,デンソー,Prime,輸送用機器,内需・ディフェンシブ
6904,原田工業,Standard,電気機器,半導体関連
6905,コーセル,Prime,電気機器,半導体関連
6907,ジオマテック,Standard,電気機器,半導体関連
6908,イリソ電子工業,Prime,電気機器,半導体関連
